x_m,y_m
4.658203125000001318e-03,1.397368958400037504e-02
4.649767743864031966e-03,1.397460937500000049e-02
4.638671875000000000e-03,1.397584637608297736e-02
4.619140625000000416e-03,1.397806492211894382e-02
4.599609374999999965e-03,1.398031063424222224e-02
4.580078125000000382e-03,1.398260243190805642e-02
4.560546874999999931e-03,1.398496835550819967e-02
4.541015625000000347e-03,1.398744724428353098e-02
4.521484374999999896e-03,1.399009104810425459e-02
4.501953125000000312e-03,1.399296742542031034e-02
4.494615707446867996e-03,1.399414062500000007e-02
4.482421874999998994e-03,1.399612216608890278e-02
4.462890625000000278e-03,1.399926097569201625e-02
4.443359374999999827e-03,1.400237835086735362e-02
4.423828125000000243e-03,1.400555039080167430e-02
4.404296874999999792e-03,1.400887367473378428e-02
4.384765625000000208e-03,1.401247012635686330e-02
4.378739937567304591e-03,1.401367187499999965e-02
4.365234374999999757e-03,1.401638903968077839e-02
4.345703125000000173e-03,1.402021398934035976e-02
4.326171874999999722e-03,1.402400530346548969e-02
4.306640625000000139e-03,1.402791624735580736e-02
4.287109374999999688e-03,1.403213506508376764e-02
4.282535349303030585e-03,1.403320312500000097e-02
4.267578125000000104e-03,1.403669614489063376e-02
4.248046875000000520e-03,1.404109305829987810e-02
4.228515625000000069e-03,1.404548013037167954e-02
4.208984375000000486e-03,1.405010505968152211e-02
4.198778377325673543e-03,1.405273437500000056e-02
4.189453125000000035e-03,1.405519302018013936e-02
4.169921875000002186e-03,1.406015696971196251e-02
4.150390625000000000e-03,1.406505472385289647e-02
4.130859375000000416e-03,1.407022236688499142e-02
4.123742878357481052e-03,1.407226562500000014e-02
4.111328124999999965e-03,1.407585776284926704e-02
4.091796875000000382e-03,1.408126802635243507e-02
4.072265624999999931e-03,1.408670306815468058e-02
4.055354786612580358e-03,1.409179687499999972e-02
4.052734375000000347e-03,1.409262990977901489e-02
4.033203124999999896e-03,1.409864225317413768e-02
4.013671875000000312e-03,1.410447581622006376e-02
3.994140624999999861e-03,1.411067571704188207e-02
3.992232449960370251e-03,1.411132812500000104e-02
3.974609375000000278e-03,1.411722806373355912e-02
3.955078124999999827e-03,1.412349619252718097e-02
3.935546875000000243e-03,1.413010984261195598e-02
3.933492431181441484e-03,1.413085937500000062e-02
3.916015624999999792e-03,1.413709864096715681e-02
3.896484375000000208e-03,1.414379699048471176e-02
3.878455755453051948e-03,1.415039062500000021e-02
3.876953125000000191e-03,1.415097378688184859e-02
3.857421875000000173e-03,1.415829382318974615e-02
3.837890625000000156e-03,1.416545902033510169e-02
3.826621731964314783e-03,1.416992187499999979e-02
3.818359375000000139e-03,1.417327524577160873e-02
3.798828125000000121e-03,1.418084503997032314e-02
3.779296875000000104e-03,1.418867231824997265e-02
3.777486056228218300e-03,1.418945312500000111e-02
3.759765625000000087e-03,1.419690251176746951e-02
3.740234375000000069e-03,1.420489506561770261e-02
3.730962251163767729e-03,1.420898437500000069e-02
3.720703125000000052e-03,1.421356916532211939e-02
3.701171875000000035e-03,1.422193094024133166e-02
3.686655034438243977e-03,1.422851562500000028e-02
3.681640625000000017e-03,1.423088238451346819e-02
3.662109375000000000e-03,1.423971937411525057e-02
3.644358226950811328e-03,1.424804687499999986e-02
3.642578125000000416e-03,1.424892940199831357e-02
3.623046874999999965e-03,1.425826654519792881e-02
3.603960013287132048e-03,1.426757812499999944e-02
3.603515625000000382e-03,1.426780851082047261e-02
3.583984374999999931e-03,1.427761317545919381e-02
3.565364102414440330e-03,1.428710937500000076e-02
3.564453124999999913e-03,1.428760147212409896e-02
3.544921874999999896e-03,1.429781635024218213e-02
3.528450029855551440e-03,1.430664062500000208e-02
3.525390624999999879e-03,1.430835757524903488e-02
3.505859374999999861e-03,1.431894780426277644e-02
3.493077947586699025e-03,1.432617187499999993e-02
3.486328125000000278e-03,1.433009853260674982e-02
3.466796875000000260e-03,1.434111995282664510e-02
3.459139939147409977e-03,1.434570312499999951e-02
3.447265624999999809e-03,1.435285363346575603e-02
3.427734375000000659e-03,1.436454501547845992e-02
3.426649916370068730e-03,1.436523437500000083e-02
3.408203125000000208e-03,1.437672781472175421e-02
3.395663884100081492e-03,1.438476562500000042e-02
3.388671875000000191e-03,1.438937066690570803e-02
3.369140625000000173e-03,1.440203409803032623e-02
3.365843484569559264e-03,1.440429687500000000e-02
3.349609375000000156e-03,1.441536858024301121e-02
3.337522731613830600e-03,1.442382812499999958e-02
3.330078125000000139e-03,1.442917410290478139e-02
3.310546875000000121e-03,1.444319031530314282e-02
3.310322566743204107e-03,1.444335937500000264e-02
3.291015625000000104e-03,1.445779534987048573e-02
3.284459246043308113e-03,1.446289062500000049e-02
