time,rise_velocity,centroid_y,gas_area,phi_min,phi_max,divergence_linf,kinetic_energy,steps,substeps,poisson_solves,poisson_residual
0.0,0.0,0.004999999999999944,4.92450912986553e-6,2.5701663020072374e-14,1.0,0.0,0.0,0,0,0,0.0
4.0566271114208695e-6,3.5202336190218824e-5,0.004999999999999944,4.92450912986553e-6,2.5701663020072374e-14,1.0,6.861041522421285e-8,3.462686886350691e-12,1,1,1,0.2789226453450994
8.113254222841739e-6,7.040345514175406e-5,0.005000000142802674,4.92450912986553e-6,2.5701604906005357e-14,1.0000000000000102,8.278613651286487e-8,1.3849994902843997e-11,2,2,2,0.327550838483609
1.2169881334262608e-5,0.00010560380898201945,0.005000000428387677,4.924509129865531e-6,2.5701488004414463e-14,1.0000000000000095,1.251113744045614e-7,3.116112873947291e-11,3,3,3,0.35398714289998084
1.6226508445683478e-5,0.00014080341899179083,0.005000000856751965,4.924509129865532e-6,2.570131221556809e-14,1.0000000000000093,7.737784228460665e-8,5.5395353777495056e-11,4,4,4,0.2910230776159121
2.028313555710435e-5,0.00017600228651317972,0.005000001427892459,4.924509129865532e-6,2.5701077470541396e-14,1.0000000000000089,1.233312812431997e-7,8.655193743320646e-11,5,5,5,0.3600977243826528
2.433976266852522e-5,0.00021120041137611035,0.00500000214180624,4.924509129865534e-6,2.570078369695452e-14,1.0000000000000098,9.285168875764437e-8,1.2463014649535352e-10,6,6,6,0.3214053175136715
2.839638977994609e-5,0.0002463977934126801,0.005000002998490302,4.924509129865534e-6,2.570043082390648e-14,1.00000000000001,9.967251107106945e-8,1.6962924773170437e-10,7,7,7,0.33684711749576435
3.2453016891366956e-5,0.0002815944320885239,0.005000003997941636,4.924509129865535e-6,2.570001878054782e-14,1.0000000000000115,1.0470283853813989e-7,2.2154850843990072e-10,8,8,8,0.34550723450018517
3.650964400278782e-5,0.00031679032695878823,0.005000005140157278,4.924509129865536e-6,2.5699550449609363e-14,1.0000000000000135,1.0286087259725463e-7,2.8038719678404264e-10,9,9,9,0.3542259827280101
4.056627111420869e-5,0.00035198547756265796,0.0050000064251342225,4.924509129865538e-6,2.5699023170899747e-14,1.000000000000017,1.1212883464783996e-7,3.4614458199182903e-10,10,10,10,0.3638597238509651
4.462289822562956e-5,0.00038717988335941527,0.0050000078528695075,4.924509129865539e-6,2.5698436869683448e-14,1.0000000000000215,1.0799154383147463e-7,4.188199344700473e-10,11,11,11,0.3025810236036551
4.8679525337050424e-5,0.0004223735439938706,0.00500000942336015,4.924509129865539e-6,2.569779552940235e-14,1.000000000000021,1.1167412293337786e-7,4.984125258717368e-10,12,12,12,0.30758152049707516
5.273615244847129e-5,0.0004575664589260003,0.0050000111366032595,4.924509129865542e-6,2.5697095379175507e-14,1.0000000000000207,1.158017394319727e-7,5.849216291336346e-10,13,13,13,0.31335486447093636
5.679277955989216e-5,0.0004927586276704076,0.005000012992595817,4.924509129865543e-6,2.5696336338924483e-14,1.00000000000002,1.1924667060042582e-7,6.783465184948052e-10,14,14,14,0.31925669063566514
6.0849406671313025e-5,0.0005279500497384232,0.005000014991334848,4.924509129865545e-6,2.5695518326904747e-14,1.000000000000022,1.2249177406935263e-7,7.786864695028413e-10,15,15,15,0.325350472839286
6.49060337827339e-5,0.0005631407246383871,0.0050000171328174305,4.924509129865545e-6,2.5694641259636963e-14,1.0000000000000242,1.2503151112543132e-7,8.859407590117e-10,16,16,16,0.3314278201306584
6.896266089415477e-5,0.0005983306518757718,0.0050000194170407046,4.924509129865547e-6,2.569370505250403e-14,1.0000000000000264,1.2768559050704842e-7,1.0001086651737862e-9,17,17,17,0.33756420140531884
7.301928800557565e-5,0.0006335198309530627,0.005000021844001559,4.924509129865548e-6,2.569270961869747e-14,1.0000000000000286,1.303413681152943e-7,1.121189467428029e-9,18,18,18,0.34341101770592763
7.707591511699652e-5,0.0006687082613698559,0.005000024413697136,4.92450912986555e-6,2.5691654869762426e-14,1.0000000000000309,1.329583494066866e-7,1.2491824464851112e-9,19,19,19,0.34941465739211985
