step,time_s,liquid_area_m2,boundary_integral_m2,balance_error_m2,phi_min,phi_max
0,0,9.824376755967772e-7,0,0,0.0,0.9999999999771026
1,2.8281739830889655e-5,9.826922112552552e-7,2.5453565847800694e-10,6.462348535570529e-23,0.0,0.9999999999774464
2,5.656347966177931e-5,9.829467469137333e-7,5.090713169560139e-10,1.2924697071141057e-22,0.0,0.9999999999777742
3,8.484521949266897e-5,9.832012825722114e-7,7.636069754340207e-10,1.93973853643685e-22,0.0,1.0000035855149862
4,0.00011312695932355862,9.834558182306892e-7,1.0181426339120278e-9,4.6735704609246064e-23,0.0,1.0000167765643102
5,0.00014140869915444827,9.83710353889167e-7,1.2726782923900346e-9,-1.002956492720546e-22,0.0,1.0000291219757858
6,0.00016969043898533792,9.839648895476452e-7,1.5272139508680414e-9,-3.556876633978019e-23,0.0,1.0000406967095024
7,0.00019797217881622757,9.842194252061232e-7,1.7817496093460483e-9,2.9158116592494226e-23,0.0,1.0000515662098184
8,0.00022625391864711722,9.844739608646013e-7,2.036285267824055e-9,9.388499952476864e-23,0.0,1.000061788536506
9,0.0002545356584780069,9.847284965230794e-7,2.290820926302062e-9,1.584050873039048e-22,0.0,1.0000714158551154
10,0.00028281739830889654,9.849830321815572e-7,2.545356584780069e-9,1.1166938269465874e-23,0.0,1.0000804964765373
11,0.0003110991381397862,9.852375678400353e-7,2.7998922432580762e-9,7.568702604860203e-23,0.0,1.000089079152725
12,0.00033938087797067584,9.854921034985134e-7,3.0544279017360833e-9,1.402071138277382e-22,0.0,1.000097199907545
13,0.0003676626178015655,9.857466391569912e-7,3.3089635602140903e-9,-7.031035206700735e-24,0.0,1.0001048914082222
14,0.00039594435763245513,9.860011748154693e-7,3.5634992186920974e-9,5.748905257243542e-23,0.0,1.0001121833856585
15,0.0004242260974633448,9.862557104739474e-7,3.818034877170104e-9,1.224227306578481e-22,0.0,1.0001191029252974
16,0.00045250783729423443,9.865102461324255e-7,4.072570535648111e-9,1.8694281843698425e-22,0.0,1.000125674757152
17,0.0004807895771251241,9.867647817909033e-7,4.327106194126118e-9,3.970466940254533e-23,0.0,1.0001319215075088
18,0.0005090713169560138,9.870193174493812e-7,4.581641852604125e-9,-1.075334796318936e-22,0.0,1.000137863921158
19,0.0005373530567869035,9.872738531078592e-7,4.836177511082132e-9,-4.301339185275744e-23,0.0,1.0001435210786551
20,0.0005656347966177932,9.875283887663373e-7,5.090713169560139e-9,2.150669592637872e-23,0.0,1.000148910635621
21,0.0005939165364486829,9.877829244248154e-7,5.345248828038146e-9,8.602678370551488e-23,0.0,1.000154048810298
22,0.0006221982762795726,9.880374600832935e-7,5.599784486516153e-9,1.5054687148465104e-22,0.0,1.0001589505265374
23,0.0006504800161104623,9.882919957417713e-7,5.85432014499416e-9,3.308722450212111e-24,0.0,1.0001636295413232
24,0.000678761755941352,9.885465314002494e-7,6.108855803472167e-9,6.782881022934827e-23,0.0,1.000168098556452
25,0.0007070434957722417,9.888010670587275e-7,6.3633914619501744e-9,1.3234889800848443e-22,0.0,1.0001723693180273
26,0.0007353252356031314,9.890556027172053e-7,6.6179271204281815e-9,-1.4889251025954498e-23,0.0,1.0001764527049783
27,0.0007636069754340211,9.893101383756834e-7,6.8724627789061885e-9,4.963083675318166e-23,0.0,1.0001803588074367
28,0.0007918887152649108,9.895646740341615e-7,7.1269984373841956e-9,1.1415092453231782e-22,0.0,1.0001840969969236
29,0.0008201704550958005,9.898192096926395e-7,7.381534095862203e-9,1.7867101231145398e-22,0.0,1.0001876759893125
30,0.0008484521949266902,9.900737453511174e-7,7.63606975434021e-9,3.143286327701505e-23,0.0,1.0001911039006424
31,0.0008767339347575799,9.903282810095955e-7,7.890605412818217e-9,9.595295105615121e-23,0.0,1.0001943883000421
32,0.0009050156745884696,9.905828166680733e-7,8.145141071296224e-9,-5.1285197978287716e-23,0.0,1.0001975362539661
33,0.0009332974144193593,9.908373523265514e-7,8.39967672977423e-9,1.3234889800848443e-23,0.0,1.00020055436653
34,0.000961579154250249,9.910918879850295e-7,8.654212388252238e-9,7.77549775799846e-23,0.0,1.0002034488160987
35,0.0009898608940811387,9.913464236435073e-7,8.908748046730245e-9,-6.948317145445432e-23,0.0,1.0002062253884947
36,0.0010181426339120284,9.916009593019856e-7,9.163283705208252e-9,2.0679515313825692e-22,0.0,1.0002088895071477
37,0.0010464243737429181,9.918554949604635e-7,9.417819363686259e-9,5.955700410381799e-23,0.0,1.0002114462604388
38,0.0010747061135738078,9.921100306189413e-7,9.672355022164266e-9,-8.768114493062093e-23,0.0,1.0002139004264
39,0.0011029878534046975,9.923645662774194e-7,9.926890680642273e-9,-2.3161057151484775e-23,0.0,1.0002162564947157
40,0.0011312695932355872,9.926191019358975e-7,1.018142633912028e-8,4.1359030627651384e-23,0.0,1.0002185186852557
41,0.001159551333066477,9.928736375943753e-7,1.0435961997598287e-8,-1.0587911840678754e-22,0.0,1.0002206909584828
42,0.0011878330728973666,9.931281732528534e-7,1.0690497656076294e-8,-4.1359030627651384e-23,0.0,1.000222776894395
43,0.0012161148127282563,9.933827089113313e-7,1.0945033314554301e-8,-1.885971796620903e-22,0.0,1.0002247703068847
44,0.001244396552559146,9.936372445698093e-7,1.1199568973032308e-8,-1.2407709188295415e-22,0.0,1.00022667728655
45,0.0012726782923900358,9.938917802282874e-7,1.1454104631510315e-8,-5.955700410381799e-23,0.0,1.0002285031653333
46,0.0013009600322209255,9.941463158867655e-7,1.1708640289988322e-8,4.963083675318166e-24,0.0,1.0002302526462599
47,0.0013292417720518152,9.944008515452436e-7,1.196317594846633e-8,6.948317145445432e-23,0.0,1.0002319299084017
48,0.0013575235118827049,9.946553872037216e-7,1.2217711606944336e-8,1.3400325923359048e-22,0.0,1.0002335386921108
