step,time_s,liquid_area_m2,boundary_integral_m2,balance_error_m2,phi_min,phi_max
0,0,9.824376755967772e-7,0,0,0.0,0.9999999999771026
1,5.656347966177931e-5,9.829467469137333e-7,5.090713169560139e-10,1.2924697071141057e-22,0.0,0.9999999999777902
2,0.00011312695932355862,9.834558182306892e-7,1.0181426339120278e-9,4.6735704609246064e-23,0.0,1.0000174748143873
3,0.00016969043898533795,9.839648895476452e-7,1.5272139508680416e-9,-3.5775561492918447e-23,0.0,1.0000420387254316
4,0.00022625391864711724,9.844739608646013e-7,2.0362852678240555e-9,9.347140921849213e-23,0.0,1.0000635424484514
5,0.00028281739830889654,9.849830321815574e-7,2.5453565847800696e-9,2.2251158477676444e-22,0.0,1.000082496434765
6,0.00033938087797067584,9.854921034985132e-7,3.0544279017360837e-9,-7.196471329211341e-23,0.0,1.000099310189767
7,0.00039594435763245513,9.860011748154693e-7,3.5634992186920978e-9,5.707546226615891e-23,0.0,1.000114340653117
8,0.00045250783729423443,9.865102461324252e-7,4.072570535648112e-9,-2.5642598989143858e-23,0.0,1.0001278355243337
9,0.0005090713169560138,9.870193174493814e-7,4.581641852604126e-9,1.0339757656912846e-22,0.0,1.0001399990063071
10,0.0005656347966177931,9.875283887663373e-7,5.09071316956014e-9,2.0679515313825692e-23,0.0,1.0001510005372498
11,0.0006221982762795724,9.880374600832935e-7,5.599784486516154e-9,1.49719690872098e-22,0.0,1.0001609820353305
12,0.0006787617559413517,9.885465314002494e-7,6.108855803472168e-9,6.700162961679524e-23,0.0,1.0001700642383864
13,0.000735325235603131,9.890556027172053e-7,6.617927120428182e-9,-1.5716431638507526e-23,0.0,1.0001783489235088
14,0.0007918887152649103,9.895646740341615e-7,7.126998437384196e-9,1.133237439197648e-22,0.0,1.000185922601147
15,0.0008484521949266896,9.900737453511174e-7,7.63606975434021e-9,3.143286327701505e-23,0.0,1.0001928593605338
16,0.0009050156745884689,9.905828166680735e-7,8.145141071296224e-9,1.6047303883528737e-22,0.0,1.000199223067575
17,0.0009615791542502482,9.910918879850295e-7,8.654212388252238e-9,7.77549775799846e-23,0.0,1.000205069106272
18,0.0010181426339120276,9.916009593019854e-7,9.163283705208252e-9,-4.963083675318166e-24,0.0,1.0002104457956198
19,0.001074706113573807,9.921100306189413e-7,9.672355022164266e-9,-8.768114493062093e-23,0.0,1.0002153954698032
20,0.0011312695932355864,9.926191019358975e-7,1.018142633912028e-8,4.1359030627651384e-23,0.0,1.0002199553665085
21,0.0011878330728973658,9.931281732528536e-7,1.0690497656076294e-8,1.703992061859237e-22,0.0,1.0002241583467877
22,0.0012443965525591452,9.936372445698095e-7,1.1199568973032308e-8,8.768114493062093e-23,0.0,1.0002280333174056
23,0.0013009600322209246,9.941463158867655e-7,1.1708640289988322e-8,4.963083675318166e-24,0.0,1.0002315669580728
24,0.001357523511882704,9.946553872037216e-7,1.2217711606944336e-8,1.3400325923359048e-22,0.0,1.0002348045899319
25,0.0014140869915444834,9.951644585206776e-7,1.272678292390035e-8,5.1285197978287716e-23,0.0,1.000237779831734
26,0.0014706504712062628,9.956735298376335e-7,1.3235854240856365e-8,-3.143286327701505e-23,0.0,1.0002405187215797
27,0.0015272139508680422,9.961826011545896e-7,1.3744925557812379e-8,9.760731228125727e-23,0.0,1.0002430422542945
28,0.0015837774305298216,9.966916724715456e-7,1.4253996874768393e-8,1.4889251025954498e-23,0.0,1.000245367979944
29,0.001640340910191601,9.972007437885015e-7,1.4763068191724407e-8,-6.782881022934827e-23,0.0,1.000247511064562
30,0.0016969043898533804,9.977098151054576e-7,1.527213950868042e-8,6.28657265540301e-23,0.0,1.0002494850939034
31,0.0017534678695151598,9.982188864224138e-7,1.5781210825636433e-8,1.9190590211230242e-22,0.0,1.0002513029884785
32,0.0018100313491769392,9.987279577393695e-7,1.6290282142592447e-8,-1.0257039595657543e-22,0.0,1.0002529806873788
33,0.0018665948288387186,9.992370290563256e-7,1.679935345954846e-8,2.6469779601696886e-23,0.0,1.0002548054115765
34,0.001923158308500498,9.997461003732818e-7,1.7308424776504476e-8,1.555099551599692e-22,0.0,1.0002566530092767
35,0.0019797217881622775,1.0002551716902375e-6,1.781749609346049e-8,-1.3896634290890865e-22,0.0,1.000258451567968
36,0.002036285267824057,1.0007642430071936e-6,1.8326567410416504e-8,-9.926167350636332e-24,0.0,1.0002601609215895
37,0.0020928487474858363,1.0012733143241498e-6,1.8835638727372518e-8,1.1911400820763599e-22,0.0,1.0002617599267898
