i,j,fluid_fraction,phi
1,1,1.0,1.000000128876627
2,1,1.0,1.000000160318695
3,1,1.0,1.0000002096433387
4,1,1.0,1.000000278800104
5,1,1.0,1.0000003680482505
6,1,1.0,1.0000004748741766
7,1,1.0,1.0000005927920443
8,1,1.0,1.0000007102782902
9,1,1.0,1.0000008102925104
10,1,1.0,1.000000871241525
11,1,0.008336461126900896,1.000000871241525
12,1,0.0,0.9999986290427931
13,1,0.0,0.9999962733607158
14,1,0.0,0.9999898700090191
15,1,0.0,0.9999724643088854
16,1,0.0,0.9999251537724894
17,1,0.0,0.9997965730219448
18,1,0.0,0.9994472213630764
19,1,0.0,0.998498817743263
20,1,0.0,0.9959298622841039
21,1,0.0,0.9890130573694068
22,1,0.0,0.9706877692486436
23,1,0.0,0.9241418199787563
24,1,0.0,0.8175744761936434
25,1,0.0,0.6224593312018536
26,1,0.0,0.37754066879814513
27,1,0.0,0.1824255238063558
28,1,0.0,0.0758581800212435
29,1,0.0,0.029312230751356194
30,1,0.0,0.010986942630593188
31,1,0.0,0.004070137715896094
32,1,0.0,0.0015011822567370103
33,1,0.0,0.000552778636923601
34,1,0.0,0.00020342697805519894
35,1,0.0,7.484622751063874e-5
36,1,0.0,2.7535691114577432e-5
37,1,0.0,1.01299909808783e-5
38,1,0.0,3.726639284162836e-6
39,1,0.0,1.3709572068698606e-6
40,1,0.0,5.043474082255806e-7
41,1,0.0,1.8553910186014377e-7
42,1,0.0,6.825602910653927e-8
43,1,0.0,2.5109990919869318e-8
44,1,0.0,9.237449583032742e-9
45,1,0.0,3.398267833798485e-9
46,1,0.0,1.2501528701136522e-9
47,1,0.0,4.5990555808117506e-10
48,1,0.0,1.6918977330249163e-10
49,1,0.0,6.224143422883799e-11
50,1,0.008336461126909445,6.9913732141460334e-12
51,1,1.0,6.9913732141460334e-12
52,1,1.0,5.5948612994596525e-12
53,1,1.0,3.4307031337572805e-12
54,1,1.0,1.8122363315517459e-12
55,1,1.0,8.957067979742976e-13
56,1,1.0,4.278129130687873e-13
57,1,1.0,2.0035825169368514e-13
58,1,1.0,9.28469294379379e-14
59,1,1.0,4.289217474921603e-14
60,1,1.0,1.9892285535924293e-14
61,1,1.0,9.315639599223459e-15
62,1,1.0,4.435533442331891e-15
63,1,1.0,2.1520749291384315e-15
