t=0.0035049258 step=432 substeps=432
t=0.0070017384 step=863 substeps=863
t=0.010506664 step=1295 substeps=1295
t=0.014003477 step=1726 substeps=1726
t=0.017500289 step=2157 substeps=2157
t=0.021005215 step=2589 substeps=2589
t=0.024502028 step=3020 substeps=3020
t=0.028006954 step=3452 substeps=3452
t=0.031503766 step=3883 substeps=3883
t=0.035000579 step=4314 substeps=4314
t=0.038505505 step=4746 substeps=4746
t=0.042002317 step=5177 substeps=5177
t=0.045507243 step=5609 substeps=5609
t=0.049004056 step=6040 substeps=6040
t=0.052500868 step=6471 substeps=6471
t=0.056005794 step=6903 substeps=6903
t=0.059502606 step=7334 substeps=7334
t=0.063007532 step=7766 substeps=7766
t=0.066504345 step=8197 substeps=8197
t=0.07 step=8628 substeps=8628
