t=0.0041305947 step=6 substeps=186
t=0.0075727569 step=11 substeps=341
t=0.011014919 step=16 substeps=496
t=0.014457081 step=21 substeps=651
t=0.017899244 step=26 substeps=806
t=0.021341406 step=31 substeps=961
t=0.024783568 step=36 substeps=1116
t=0.02822573 step=41 substeps=1271
t=0.031667893 step=46 substeps=1428
t=0.035110055 step=51 substeps=1588
t=0.038552217 step=56 substeps=1750
t=0.042682812 step=62 substeps=1942
t=0.046124974 step=67 substeps=2102
t=0.049567136 step=72 substeps=2258
t=0.053009299 step=77 substeps=2413
t=0.056451461 step=82 substeps=2568
t=0.059893623 step=87 substeps=2723
t=0.063335785 step=92 substeps=2878
t=0.066777948 step=97 substeps=3033
t=0.07 step=102 substeps=3179
