t=0.0035282163 step=41 substeps=1230
t=0.0070564326 step=82 substeps=2460
t=0.010584649 step=123 substeps=3690
t=0.014026811 step=163 substeps=4890
t=0.017555027 step=204 substeps=6120
t=0.021083244 step=245 substeps=7350
t=0.024525406 step=285 substeps=8550
t=0.028053622 step=326 substeps=9780
t=0.031581839 step=367 substeps=11010
t=0.035024001 step=407 substeps=12210
t=0.038552217 step=448 substeps=13440
t=0.042080433 step=489 substeps=14670
t=0.045522596 step=529 substeps=15870
t=0.049050812 step=570 substeps=17100
t=0.052579028 step=611 substeps=18330
t=0.056021191 step=651 substeps=19530
t=0.059549407 step=692 substeps=20760
t=0.063077623 step=733 substeps=21990
t=0.066519785 step=773 substeps=23190
t=0.07 step=814 substeps=24404
