bubble-proposed-128: completed_unvalidated, source verified 0bba56f1dec34aa39b2e2f9e7cc5631f8c764c3fd1d0bd622a637d85335e2076
bubble-proposed-factor15: completed_unvalidated, source verified 0bba56f1dec34aa39b2e2f9e7cc5631f8c764c3fd1d0bd622a637d85335e2076
bubble-proposed-factor15-fixed: completed_unvalidated, source verified f41c3e05228cde0d6260e62a609bb4cf4835e56490001a19aea2ea25e3eedc93
bubble-proposed-initial: completed_unvalidated, source verified 1a00ed5d3b2e7051a17239f992e0453c461c5e0e6bdf51cef10c5573f66c38e5
bubble-standard-initial: interrupted_after_multigrid_equivalence_check, source verified 1a00ed5d3b2e7051a17239f992e0453c461c5e0e6bdf51cef10c5573f66c38e5
bubble-standard-mg: completed_unvalidated, source verified 0bba56f1dec34aa39b2e2f9e7cc5631f8c764c3fd1d0bd622a637d85335e2076
bubble-weak-initial: completed_unvalidated, source verified 1a00ed5d3b2e7051a17239f992e0453c461c5e0e6bdf51cef10c5573f66c38e5
replayed-smoke-weak: completed_unvalidated, source verified 1a00ed5d3b2e7051a17239f992e0453c461c5e0e6bdf51cef10c5573f66c38e5
smoke-standard: completed_unvalidated, source verified 1a00ed5d3b2e7051a17239f992e0453c461c5e0e6bdf51cef10c5573f66c38e5
smoke-subcycling: completed_unvalidated, source verified 1a00ed5d3b2e7051a17239f992e0453c461c5e0e6bdf51cef10c5573f66c38e5
smoke-weak: completed_unvalidated, source verified 1a00ed5d3b2e7051a17239f992e0453c461c5e0e6bdf51cef10c5573f66c38e5
static-fine-fixed: measured_requires_review, source verified f41c3e05228cde0d6260e62a609bb4cf4835e56490001a19aea2ea25e3eedc93
static-halfdt: measured_requires_review, source verified 1a00ed5d3b2e7051a17239f992e0453c461c5e0e6bdf51cef10c5573f66c38e5
static-local: measured_requires_review, source verified 1a00ed5d3b2e7051a17239f992e0453c461c5e0e6bdf51cef10c5573f66c38e5
static-long: measured_requires_review, source verified 0bba56f1dec34aa39b2e2f9e7cc5631f8c764c3fd1d0bd622a637d85335e2076
static-tight: measured_requires_review, source verified 1a00ed5d3b2e7051a17239f992e0453c461c5e0e6bdf51cef10c5573f66c38e5
