t=0.0035008692 step=863 substeps=863
t=0.0070017384 step=1726 substeps=1726
t=0.010502608 step=2589 substeps=2589
t=0.014003477 step=3452 substeps=3452
t=0.017500289 step=4314 substeps=4314
t=0.021001159 step=5177 substeps=5177
t=0.024502028 step=6040 substeps=6040
t=0.028002897 step=6903 substeps=6903
t=0.031503766 step=7766 substeps=7766
t=0.035000579 step=8628 substeps=8628
t=0.038501448 step=9491 substeps=9491
t=0.042002317 step=10354 substeps=10354
t=0.045503186 step=11217 substeps=11217
t=0.049004056 step=12080 substeps=12080
t=0.052500868 step=12942 substeps=12942
t=0.056001737 step=13805 substeps=13805
t=0.059502606 step=14668 substeps=14668
t=0.063003476 step=15531 substeps=15531
t=0.066500288 step=16393 substeps=16393
t=0.07 step=17256 substeps=17256
