t=0.0035292656 step=58 substeps=464
t=0.0070585312 step=116 substeps=928
t=0.010526947 step=173 substeps=1384
t=0.014056213 step=231 substeps=1848
t=0.017524629 step=288 substeps=2304
t=0.021053895 step=346 substeps=2768
t=0.024522311 step=403 substeps=3224
t=0.028051576 step=461 substeps=3688
t=0.031519993 step=518 substeps=4144
t=0.035049258 step=576 substeps=4608
t=0.038517674 step=633 substeps=5064
t=0.04204694 step=691 substeps=5528
t=0.045515356 step=748 substeps=5984
t=0.049044622 step=806 substeps=6448
t=0.052513038 step=863 substeps=6904
t=0.056042304 step=921 substeps=7368
t=0.05951072 step=978 substeps=7824
t=0.063039985 step=1036 substeps=8288
t=0.066508401 step=1093 substeps=8744
t=0.07 step=1151 substeps=9203
